url,referencia,categoria,subcategoria,titulo,formato,precio_por_medida,unidad_medida,precio_anterior,precio_actual,unidad_precio,divisa,imagen_principal,imagenes_secundarias,timestamp
https://tienda.mercadona.es/product/10005/chocolate-liquido-taza-hacendado-brick,10005,"Cacao, café e infusiones",Cacao soluble y chocolate a la taza,Chocolate líquido a la taza Hacendado,Brick 1 L,2.45,L,,2.45,Unidad,€,https://prod-mercadona.imgix.net/images/ba0a4a3958ff462e8b171ef08f6dce66.jpg,"['https://prod-mercadona.imgix.net/images/ba0a4a3958ff462e8b171ef08f6dce66.jpg', 'https://prod-mercadona.imgix.net/images/e4ac1fc00b23f3cf83c837018dcc13c9.jpg']",2026-02-14T10:50:07.899124
https://tienda.mercadona.es/product/10043/batido-chocolate-90-leche-puleva-pack-6,10043,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Batido de chocolate 90% leche Puleva,6 mini bricks x 200 ml,2.334,L,,2.8,Pack,€,https://prod-mercadona.imgix.net/images/118b04b2870df73a19605a8987545455.jpg,"['https://prod-mercadona.imgix.net/images/118b04b2870df73a19605a8987545455.jpg', 'https://prod-mercadona.imgix.net/images/6b7a039a13369802d0bfa53a456976b0.jpg']",2026-02-14T10:50:11.754718
https://tienda.mercadona.es/product/10050/batido-chocolate-hacendado-pack-6,10050,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Batido de chocolate Hacendado,6 mini bricks x 200 ml,1.292,L,,1.55,Pack,€,https://prod-mercadona.imgix.net/images/3cea02fc6511b13003b8cd6ed8fc1f1e.jpg,"['https://prod-mercadona.imgix.net/images/3cea02fc6511b13003b8cd6ed8fc1f1e.jpg', 'https://prod-mercadona.imgix.net/images/72537f3ffa6e7af61cfd99f611e18083.jpg']",2026-02-14T10:50:14.902007
https://tienda.mercadona.es/product/10051/batido-vainilla-hacendado-pack-6,10051,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Batido de vainilla Hacendado,6 mini bricks x 200 ml,1.292,L,,1.55,Pack,€,https://prod-mercadona.imgix.net/images/48c2e0a6cdeed322a987bd839904bb78.jpg,"['https://prod-mercadona.imgix.net/images/48c2e0a6cdeed322a987bd839904bb78.jpg', 'https://prod-mercadona.imgix.net/images/ab5dc4f37b3c2b62c68df5ecf031787b.jpg']",2026-02-14T10:50:19.518424
https://tienda.mercadona.es/product/10054/batido-sabor-fresa-hacendado-pack-6,10054,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Batido sabor fresa Hacendado,6 mini bricks x 200 ml,1.292,L,,1.55,Pack,€,https://prod-mercadona.imgix.net/images/29ce77fd722db435ddff9af212d9c546.jpg,"['https://prod-mercadona.imgix.net/images/29ce77fd722db435ddff9af212d9c546.jpg', 'https://prod-mercadona.imgix.net/images/abe734c089be7121d305988a357e288f.jpg']",2026-02-14T10:50:22.943351
https://tienda.mercadona.es/product/10055/batido-chocolate-90-leche-hacendado-pack-6,10055,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Batido de chocolate 90% leche Hacendado,6 mini bricks x 200 ml,1.459,L,,1.75,Pack,€,https://prod-mercadona.imgix.net/images/88e07b644387893c1e043b98c5e2025b.jpg,"['https://prod-mercadona.imgix.net/images/88e07b644387893c1e043b98c5e2025b.jpg', 'https://prod-mercadona.imgix.net/images/42eb4b0b28145f8741639f56e532af15.jpg']",2026-02-14T10:50:27.855245
https://tienda.mercadona.es/product/10066/batido-chocolate-colacao-energy-pack-4,10066,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Batido de chocolate ColaCao Energy,4 mini botellas x 188 ml,3.79,L,,2.85,Pack,€,https://prod-mercadona.imgix.net/images/0a3c939365e1ccf1721e9dffe80a17c1.jpg,"['https://prod-mercadona.imgix.net/images/0a3c939365e1ccf1721e9dffe80a17c1.jpg', 'https://prod-mercadona.imgix.net/images/2dbbe349966312766b8d7880e4a3506b.jpg']",2026-02-14T10:50:29.617069
https://tienda.mercadona.es/product/10106/fruta-leche-caribe-don-simon-sin-azucares-anadidos-zero-materia-grasa-pack-6,10106,Zumos,Fruta variada,Fruta + leche caribe Don Simón sin azúcares añadidos y zero materia grasa,6 mini bricks x 200 ml,1.25,L,,1.5,Pack,€,https://prod-mercadona.imgix.net/images/c7c2026bd60cbd318c47a8ee8b6ae2de.jpg,"['https://prod-mercadona.imgix.net/images/c7c2026bd60cbd318c47a8ee8b6ae2de.jpg', 'https://prod-mercadona.imgix.net/images/a950cf3308bde7ecafedb8d107927eaf.jpg']",2026-02-14T10:50:34.415241
https://tienda.mercadona.es/product/10117/nata-fresca-cocinar-hacendado-tarrina,10117,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata fresca para cocinar Hacendado,Tarrina 197 g,6.599,kg,,1.3,Unidad,€,https://prod-mercadona.imgix.net/images/108f4b61a8ddeca7146ea3cf0622921d.jpg,"['https://prod-mercadona.imgix.net/images/108f4b61a8ddeca7146ea3cf0622921d.jpg', 'https://prod-mercadona.imgix.net/images/859e0a046b3b8cd81a0c09bb669c853c.jpg']",2026-02-14T10:50:36.117896
https://tienda.mercadona.es/product/10126/fruta-leche-tropical-bifrutas-pascual-pack-6,10126,Zumos,Fruta variada,Fruta + leche tropical Bifrutas Pascual,6 mini bricks x 200 ml,2.1,L,,2.52,Pack,€,https://prod-mercadona.imgix.net/images/912f8849edb89e0c43b0c89b63a1f1c1.jpg,"['https://prod-mercadona.imgix.net/images/912f8849edb89e0c43b0c89b63a1f1c1.jpg', 'https://prod-mercadona.imgix.net/images/bb79d3b0476a3ad9768c8ee180ce22c3.jpg']",2026-02-14T10:50:37.757284
https://tienda.mercadona.es/product/10146/bebida-lactea-omega-3-puleva-con-leche-desnatada-pack-6,10146,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Bebida láctea Omega 3 Puleva con leche desnatada,6 bricks x 1 L,1.89,L,,11.34,Pack,€,https://prod-mercadona.imgix.net/images/7c9553aed202938385ddf8f174e0c805.jpg,"['https://prod-mercadona.imgix.net/images/7c9553aed202938385ddf8f174e0c805.jpg', 'https://prod-mercadona.imgix.net/images/74e25cd0eb44d8718f8a9ca8a6ee638e.jpg', 'https://prod-mercadona.imgix.net/images/e14565033a99294a3ed6f0fae3ab3591.jpg']",2026-02-14T10:50:41.428799
https://tienda.mercadona.es/product/10161/nata-ligera-cocinar-hacendado-brick,10161,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata ligera para cocinar Hacendado,Brick 500 ml,3.1,L,,1.55,Unidad,€,https://prod-mercadona.imgix.net/images/f451d3695c8b94b17cb61540de841da8.jpg,"['https://prod-mercadona.imgix.net/images/f451d3695c8b94b17cb61540de841da8.jpg', 'https://prod-mercadona.imgix.net/images/6553dc9f5fd8632e252d352bc240a0f7.jpg']",2026-02-14T10:50:42.819653
https://tienda.mercadona.es/product/10198/helado-nata-montada-hacendado-bote,10198,Congelados,Helados,Helado nata Hacendado,Bote 500 ml,4.6,L,,2.3,Unidad,€,https://prod-mercadona.imgix.net/images/7802b736b2b638c59ef6a941e804a563.jpg,"['https://prod-mercadona.imgix.net/images/7802b736b2b638c59ef6a941e804a563.jpg', 'https://prod-mercadona.imgix.net/images/806c6bdde59628cb827f58a58a02ea45.jpg']",2026-02-14T10:50:47.658706
https://tienda.mercadona.es/product/10199/nata-ligera-cocinar-hacendado-pack-3,10199,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata ligera para cocinar Hacendado,3 mini bricks x 200 ml,3.084,L,,1.85,Pack,€,https://prod-mercadona.imgix.net/images/a889e74c8124bd110a748bc3ac8df440.jpg,"['https://prod-mercadona.imgix.net/images/a889e74c8124bd110a748bc3ac8df440.jpg', 'https://prod-mercadona.imgix.net/images/e84074585912de62428a5ad02b0d1bcd.jpg']",2026-02-14T10:50:49.711812
https://tienda.mercadona.es/product/10275/nata-montar-hacendado-pack-3,10275,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata para montar Hacendado,3 mini bricks x 200 ml,3.75,L,,2.25,Pack,€,https://prod-mercadona.imgix.net/images/26fcf650a59ea910185beb6bfb2f6a09.jpg,"['https://prod-mercadona.imgix.net/images/26fcf650a59ea910185beb6bfb2f6a09.jpg', 'https://prod-mercadona.imgix.net/images/cd7dd5441d4b4affd39b5c1dff8f05f0.jpg', 'https://prod-mercadona.imgix.net/images/f5b3041136b930a4bd4639d81645fcfa.jpg']",2026-02-14T10:50:51.145944
https://tienda.mercadona.es/product/10276/nata-montar-hacendado-brick,10276,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata para montar Hacendado,Brick 500 ml,3.9,L,,1.95,Unidad,€,https://prod-mercadona.imgix.net/images/016b6b32c05e1f972273bf8dbf2b2f8a.jpg,"['https://prod-mercadona.imgix.net/images/016b6b32c05e1f972273bf8dbf2b2f8a.jpg', 'https://prod-mercadona.imgix.net/images/52ec214c2e7d4bdc3b0508dd44b6da5c.jpg', 'https://prod-mercadona.imgix.net/images/8652133628f7f6e19ed1d84764110181.jpg', 'https://prod-mercadona.imgix.net/images/4a913850d1048114b119dd1f6e7989b7.jpg']",2026-02-14T10:50:55.907202
https://tienda.mercadona.es/product/10281/bebida-lactea-omega-3-puleva-con-nueces-leche-desnatada-pack-6,10281,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Bebida láctea Omega 3 Puleva con nueces y leche desnatada,6 bricks x 1 L,1.95,L,,11.7,Pack,€,https://prod-mercadona.imgix.net/images/c49e6a513e35fde93bd8557ec42463c3.jpg,"['https://prod-mercadona.imgix.net/images/c49e6a513e35fde93bd8557ec42463c3.jpg', 'https://prod-mercadona.imgix.net/images/554e2dc4fe97069194fc88d332933508.jpg', 'https://prod-mercadona.imgix.net/images/721f0664381380fce644ba8fb2c87cfe.jpg']",2026-02-14T10:50:59.675485
https://tienda.mercadona.es/product/10282/bebida-lactea-omega-3-puleva-con-nueces-leche-desnatada-brick,10282,"Huevos, leche y mantequilla",Leche y bebidas vegetales,Bebida láctea Omega 3 Puleva con nueces y leche desnatada,Brick 1 L,1.95,L,,1.95,Unidad,€,https://prod-mercadona.imgix.net/images/8ef8d5777a1b0af5a70a3c411025cd40.jpg,"['https://prod-mercadona.imgix.net/images/8ef8d5777a1b0af5a70a3c411025cd40.jpg', 'https://prod-mercadona.imgix.net/images/a547f22b5e07206db01acde05e8e27e0.jpg']",2026-02-14T10:51:01.353791
https://tienda.mercadona.es/product/10286/dulce-leche-chimbote-tarro,10286,"Azúcar, caramelos y chocolate",Chocolate,Dulce de leche Chimbote,Tarro 430 g,6.303,kg,,2.71,Unidad,€,https://prod-mercadona.imgix.net/images/2feec77376dba93bb847e0de3ffa1544.jpg,"['https://prod-mercadona.imgix.net/images/2feec77376dba93bb847e0de3ffa1544.jpg', 'https://prod-mercadona.imgix.net/images/5e8ffb8aac6bfa3960eebf2503a8a706.jpg']",2026-02-14T10:51:03.497294
https://tienda.mercadona.es/product/10320/nata-ligera-cocinar-sin-lactosa-hacendado-pack-3,10320,"Huevos, leche y mantequilla",Mantequilla y margarina,Nata ligera para cocinar sin lactosa Hacendado,3 mini bricks x 200 ml,4.0,L,,2.4,Pack,€,https://prod-mercadona.imgix.net/images/325dd55f22ccf45690ffda934d0effba.jpg,"['https://prod-mercadona.imgix.net/images/325dd55f22ccf45690ffda934d0effba.jpg', 'https://prod-mercadona.imgix.net/images/e8db5e264df6da51e789f44dc4dc6e97.jpg']",2026-02-14T10:51:05.257749
https://tienda.mercadona.es/product/10350/cafe-capsula-extra-fuerte-hacendado-compatibles-maquinas-nespresso-caja,10350,"Cacao, café e infusiones",Café cápsula y monodosis,Café en cápsula extra fuerte Hacendado compatibles máquinas Nespresso,Caja 20 cápsulas (104 g),0.195,ud,,3.9,Unidad,€,https://prod-mercadona.imgix.net/images/8836704e3028b75f1b367a9984528e43.jpg,"['https://prod-mercadona.imgix.net/images/8836704e3028b75f1b367a9984528e43.jpg', 'https://prod-mercadona.imgix.net/images/9cfec37e4e7199d55e26d3e6fca1a135.jpg']",2026-02-14T10:51:06.831357
